split	cohort	participant_id	session_id	task_name	wav_path	feature_csv	duration_sec	transcript
train	adult	927938	cd26c180	diadochokinesis-v2-puhtuhkuh	bridge2ai_adult_wav_v2/927938__cd26c180__diadochokinesis-v2-puhtuhkuh.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_927938_cd26c180_diadochokinesis-v2-puhtuhkuh.csv	5.0900	What's up? What's up? What's up? What's up?
train	adult	895999	17bae626	respiration-and-cough-v2-threebreaths	bridge2ai_adult_wav_v2/895999__17bae626__respiration-and-cough-v2-threebreaths.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_895999_17bae626_respiration-and-cough-v2-threebreaths.csv	13.1100	yeah
train	adult	015134	49fc7ff9	maximum-phonation-time-1	bridge2ai_adult_wav_v2/015134__49fc7ff9__maximum-phonation-time-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_015134_49fc7ff9_maximum-phonation-time-1.csv	17.9300	Ah.
train	adult	808926	d728ee0b	maximum-phonation-time-2	bridge2ai_adult_wav_v2/808926__d728ee0b__maximum-phonation-time-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_808926_d728ee0b_maximum-phonation-time-2.csv	7.1700	Shit
train	adult	975952	a8917072	diadochokinesis-ka	bridge2ai_adult_wav_v2/975952__a8917072__diadochokinesis-ka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_975952_a8917072_diadochokinesis-ka.csv	2.9100	Kaka kaka kaka kaka kaka kaka
train	adult	221317	681e141c	respiration-and-cough-breath-1	bridge2ai_adult_wav_v2/221317__681e141c__respiration-and-cough-breath-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_221317_681e141c_respiration-and-cough-breath-1.csv	30.0100	. Wow.
train	adult	606840	4380cbde	respiration-and-cough-threequickbreaths-1	bridge2ai_adult_wav_v2/606840__4380cbde__respiration-and-cough-threequickbreaths-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_606840_4380cbde_respiration-and-cough-threequickbreaths-1.csv	5.0700	Go ahead.
train	adult	825990	d89f6efd	respiration-and-cough-breath-1	bridge2ai_adult_wav_v2/825990__d89f6efd__respiration-and-cough-breath-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_825990_d89f6efd_respiration-and-cough-breath-1.csv	30.0300	I might yawn..
train	adult	115758	e6159a06	diadochokinesis-pa	bridge2ai_adult_wav_v2/115758__e6159a06__diadochokinesis-pa.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_115758_e6159a06_diadochokinesis-pa.csv	4.3300	Pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa.
train	adult	862209	26643074	cape-v-sentences-4	bridge2ai_adult_wav_v2/862209__26643074__cape-v-sentences-4.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_862209_26643074_cape-v-sentences-4.csv	2.2300	We eat eggs every Easter.
train	adult	506412	eb224313	diadochokinesis-pataka	bridge2ai_adult_wav_v2/506412__eb224313__diadochokinesis-pataka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_506412_eb224313_diadochokinesis-pataka.csv	6.0700	Paraka, paraka, paraka, paraka, paraka, paraka, paraka, paraka, paraka, paraka.
train	adult	543787	0e962e83	prolonged-vowel	bridge2ai_adult_wav_v2/543787__0e962e83__prolonged-vowel.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_543787_0e962e83_prolonged-vowel.csv	12.1100	One, two, three. Ah.
train	adult	438080	c81204e5	diadochokinesis-buttercup	bridge2ai_adult_wav_v2/438080__c81204e5__diadochokinesis-buttercup.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_438080_c81204e5_diadochokinesis-buttercup.csv	10.4100	Buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup, buttercup.
train	adult	976929	9d5831dd	glides-low-to-high	bridge2ai_adult_wav_v2/976929__9d5831dd__glides-low-to-high.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_976929_9d5831dd_glides-low-to-high.csv	10.9500	That was great, that was good.
train	adult	884551	3ca47522	diadochokinesis-pataka	bridge2ai_adult_wav_v2/884551__3ca47522__diadochokinesis-pataka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_884551_3ca47522_diadochokinesis-pataka.csv	9.4700	Patika patika patika patika patika patika patika patika patika patika patika
train	adult	807444	712358d9	prolonged-vowel	bridge2ai_adult_wav_v2/807444__712358d9__prolonged-vowel.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_807444_712358d9_prolonged-vowel.csv	9.6100	Ahhhhhhh
train	adult	929715	25e1be27	maximum-phonation-time-1	bridge2ai_adult_wav_v2/929715__25e1be27__maximum-phonation-time-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_929715_25e1be27_maximum-phonation-time-1.csv	22.3900	Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah. Ah.
train	adult	249402	b265e80f	diadochokinesis-ka	bridge2ai_adult_wav_v2/249402__b265e80f__diadochokinesis-ka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_249402_b265e80f_diadochokinesis-ka.csv	8.6700	Kaka kaka kaka kaka kaka kaka kaka kaka kaka kaka kaka kaka kaka kaka kaka kaka
train	adult	159668	c9e68411	diadochokinesis-ka	bridge2ai_adult_wav_v2/159668__c9e68411__diadochokinesis-ka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_159668_c9e68411_diadochokinesis-ka.csv	8.4300	Tata Tata Tata Tata Tata Tata Tata Tata Tata Tata Tata Tata Tata Tata Tata
train	adult	373756	4ef8b0b9	respiration-and-cough-cough-1	bridge2ai_adult_wav_v2/373756__4ef8b0b9__respiration-and-cough-cough-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_373756_4ef8b0b9_respiration-and-cough-cough-1.csv	8.1900	Cough. Cough. Cough. Cough.
train	adult	309179	db3392f9	maximum-phonation-time-2	bridge2ai_adult_wav_v2/309179__db3392f9__maximum-phonation-time-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_309179_db3392f9_maximum-phonation-time-2.csv	12.5900	Ah.
train	adult	014190	18f479ce	loudness	bridge2ai_adult_wav_v2/014190__18f479ce__loudness.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_014190_18f479ce_loudness.csv	3.2900	Hey, hey, hey.
train	adult	808242	291f92ac	cape-v-sentences-5	bridge2ai_adult_wav_v2/808242__291f92ac__cape-v-sentences-5.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_808242_291f92ac_cape-v-sentences-5.csv	2.7100	My mama makes lemon muffins.
train	adult	488568	5f66ae0d	maximum-phonation-time-3	bridge2ai_adult_wav_v2/488568__5f66ae0d__maximum-phonation-time-3.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_488568_5f66ae0d_maximum-phonation-time-3.csv	33.4300	Oh Ah
train	adult	090051	38676168	loudness	bridge2ai_adult_wav_v2/090051__38676168__loudness.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_090051_38676168_loudness.csv	3.9900	Hey, hey, hey, hey.
train	adult	330412	86654cb0	cape-v-sentences-1	bridge2ai_adult_wav_v2/330412__86654cb0__cape-v-sentences-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_330412_86654cb0_cape-v-sentences-1.csv	4.1500	The blue spot is on the key again.
train	adult	974020	80a6334a	cape-v-sentences-3	bridge2ai_adult_wav_v2/974020__80a6334a__cape-v-sentences-3.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_974020_80a6334a_cape-v-sentences-3.csv	3.5300	We were away a year ago.
train	adult	651925	cb60dd6a	productive-vocabulary-4	bridge2ai_adult_wav_v2/651925__cb60dd6a__productive-vocabulary-4.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_651925_cb60dd6a_productive-vocabulary-4.csv	5.5500	Show me. Show off, I think.
train	adult	723183	ae244b66	loudness	bridge2ai_adult_wav_v2/723183__ae244b66__loudness.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_723183_ae244b66_loudness.csv	5.2700	Hey! Hey! Hey!
train	adult	252372	5d37acef	diadochokinesis-ka	bridge2ai_adult_wav_v2/252372__5d37acef__diadochokinesis-ka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_252372_5d37acef_diadochokinesis-ka.csv	6.9900	Gah gah gah gah gah gah gah gah gah gah gah gah gah
train	adult	732435	795f75fc	productive-vocabulary-6	bridge2ai_adult_wav_v2/732435__795f75fc__productive-vocabulary-6.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_732435_795f75fc_productive-vocabulary-6.csv	7.8500	Lossy the former Smith-7
train	adult	249673	b915ad4e	respiration-and-cough-cough-1	bridge2ai_adult_wav_v2/249673__b915ad4e__respiration-and-cough-cough-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_249673_b915ad4e_respiration-and-cough-cough-1.csv	14.3700	Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,
train	adult	719438	8a16c45a	prolonged-vowel	bridge2ai_adult_wav_v2/719438__8a16c45a__prolonged-vowel.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_719438_8a16c45a_prolonged-vowel.csv	12.1300	Ah.
train	adult	540374	19680c3b	respiration-and-cough-breath-2	bridge2ai_adult_wav_v2/540374__19680c3b__respiration-and-cough-breath-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_540374_19680c3b_respiration-and-cough-breath-2.csv	30.0300	So.
train	adult	766413	9c429a56	respiration-and-cough-breath-1	bridge2ai_adult_wav_v2/766413__9c429a56__respiration-and-cough-breath-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_766413_9c429a56_respiration-and-cough-breath-1.csv	30.0300	I'm sorry.
train	adult	042174	35951e27	respiration-and-cough-fivebreaths-1	bridge2ai_adult_wav_v2/042174__35951e27__respiration-and-cough-fivebreaths-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_042174_35951e27_respiration-and-cough-fivebreaths-1.csv	16.3700	you
train	adult	946050	c5dba594	productive-vocabulary-4	bridge2ai_adult_wav_v2/946050__c5dba594__productive-vocabulary-4.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_946050_c5dba594_productive-vocabulary-4.csv	11.0500	This one says, restaurant. Am I right or am I wrong?
train	adult	110846	71d9af63	respiration-and-cough-breath-1	bridge2ai_adult_wav_v2/110846__71d9af63__respiration-and-cough-breath-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_110846_71d9af63_respiration-and-cough-breath-1.csv	36.8100	Thank you.................................................................................................................................
train	adult	217663	2ef39436	respiration-and-cough-fivebreaths-1	bridge2ai_adult_wav_v2/217663__2ef39436__respiration-and-cough-fivebreaths-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_217663_2ef39436_respiration-and-cough-fivebreaths-1.csv	9.1100	...
train	adult	342832	f456ebf0	glides-high-to-low	bridge2ai_adult_wav_v2/342832__f456ebf0__glides-high-to-low.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_342832_f456ebf0_glides-high-to-low.csv	8.0100	Heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee heeeeee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee hee he
train	adult	232532	98385dfe	respiration-and-cough-cough-1	bridge2ai_adult_wav_v2/232532__98385dfe__respiration-and-cough-cough-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_232532_98385dfe_respiration-and-cough-cough-1.csv	6.0700	Cough, cough, cough, cough, cough, cough.
train	adult	394435	55b4817c	harvard-sentences-list-12-2	bridge2ai_adult_wav_v2/394435__55b4817c__harvard-sentences-list-12-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_394435_55b4817c_harvard-sentences-list-12-2.csv	3.0900	Leaves turn brown and yellow in the fall.
train	adult	383256	f8169c9b	respiration-and-cough-breath-1	bridge2ai_adult_wav_v2/383256__f8169c9b__respiration-and-cough-breath-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_383256_f8169c9b_respiration-and-cough-breath-1.csv	30.0300	so you
train	adult	606840	116cf97d	respiration-and-cough-threequickbreaths-1	bridge2ai_adult_wav_v2/606840__116cf97d__respiration-and-cough-threequickbreaths-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_606840_116cf97d_respiration-and-cough-threequickbreaths-1.csv	9.1100	you
train	adult	491625	637b34de	respiration-and-cough-fivebreaths-2	bridge2ai_adult_wav_v2/491625__637b34de__respiration-and-cough-fivebreaths-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_491625_637b34de_respiration-and-cough-fivebreaths-2.csv	18.8100	I'm sorry.
train	adult	946050	c5dba594	random-item-generation	bridge2ai_adult_wav_v2/946050__c5dba594__random-item-generation.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_946050_c5dba594_random-item-generation.csv	31.0300	Countries. Countries. Name as many as you can. Countries. Canada. America. What other country? There's so many of them. Jamaica. Jamaica is a country or a island. Okay. That's funny thing is I can't remember them. Oh boy.
train	adult	745071	2ffb82d6	productive-vocabulary-2	bridge2ai_adult_wav_v2/745071__2ffb82d6__productive-vocabulary-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_745071_2ffb82d6_productive-vocabulary-2.csv	12.0700	Duckling. I don't know too much about ducklings. That sounds like a baby duckling.
train	adult	198334	70466c7b	maximum-phonation-time-2	bridge2ai_adult_wav_v2/198334__70466c7b__maximum-phonation-time-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_198334_70466c7b_maximum-phonation-time-2.csv	17.1300	Ah.
train	adult	844158	d4cc8e5d	story-recall	bridge2ai_adult_wav_v2/844158__d4cc8e5d__story-recall.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_844158_d4cc8e5d_story-recall.csv	30.5900	The story's about a grandfather whose family worries about his health and he tells them to mind their own business. That's all.
train	adult	570547	d96d736b	cape-v-sentences-1	bridge2ai_adult_wav_v2/570547__d96d736b__cape-v-sentences-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_570547_d96d736b_cape-v-sentences-1.csv	4.1700	The blue spot is on the key again.
train	adult	505575	ef65e607	cape-v-sentences-5	bridge2ai_adult_wav_v2/505575__ef65e607__cape-v-sentences-5.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_505575_ef65e607_cape-v-sentences-5.csv	2.4700	My mama makes lemon muffins.
train	adult	518792	7070b969	diadochokinesis-pataka	bridge2ai_adult_wav_v2/518792__7070b969__diadochokinesis-pataka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_518792_7070b969_diadochokinesis-pataka.csv	9.6100	Ptyakka, ptyakka, ptyakka, ptyakka, ptyakka, ptyakka, ptyakka, ptyakka, ptyakka.
train	adult	927938	a7035edf	loudness	bridge2ai_adult_wav_v2/927938__a7035edf__loudness.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_927938_a7035edf_loudness.csv	3.2900	Hey, hey, hey, hey.
train	adult	927938	cd26c180	harvard-sentences-list-30-1	bridge2ai_adult_wav_v2/927938__cd26c180__harvard-sentences-list-30-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_927938_cd26c180_harvard-sentences-list-30-1.csv	17.1900	The mute muffled the high tones of the horn.
train	adult	884551	8bf09782	respiration-and-cough-v2-hardcough	bridge2ai_adult_wav_v2/884551__8bf09782__respiration-and-cough-v2-hardcough.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_884551_8bf09782_respiration-and-cough-v2-hardcough.csv	3.8900	Ahem. Ahem.
train	adult	424233	4f01f3f9	random-item-generation	bridge2ai_adult_wav_v2/424233__4f01f3f9__random-item-generation.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_424233_4f01f3f9_random-item-generation.csv	27.4700	City names? Say some city names. Oh. Brooksville, Dade City, Holliday, North Reading, Redding, Winchester, Boston.
train	adult	225994	45b76d73	maximum-phonation-time-2	bridge2ai_adult_wav_v2/225994__45b76d73__maximum-phonation-time-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_225994_45b76d73_maximum-phonation-time-2.csv	11.8100	One, two, three. Ah. I wasn't supposed to count the
train	adult	855293	06ccaf4d	cape-v-sentences-1	bridge2ai_adult_wav_v2/855293__06ccaf4d__cape-v-sentences-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_855293_06ccaf4d_cape-v-sentences-1.csv	3.5300	The blue spot is on the key again.
